merge_artist,total_tracks,avg_popularity,avg_duration_ms,avg_danceability,avg_energy,avg_speechiness,avg_acousticness,avg_instrumentalness,avg_liveness,avg_valence,avg_tempo,top_genre,total_nominations,total_wins,first_award_year,last_award_year,has_award
taryn spilzman;gabi porto;fábio porchat,1,28.0,118826.0,0.54,0.44,0.03,0.76,0.0,0.12,0.52,139.28,disney,0,0,0,0,0
taryn spilzman;gabi porto;fábio porchat;raphael rossatto,1,35.0,170200.0,0.46,0.33,0.03,0.76,0.0,0.1,0.37,106.11,disney,0,0,0,0,0
tash sultana,1,66.0,315602.0,0.59,0.7,0.03,0.28,0.0,0.09,0.5,146.0,reggae,0,0,0,0,0
tasha & tracie;ashira,2,44.5,238764.0,0.55,0.63,0.3,0.05,0.0,0.27,0.74,123.17,funk,0,0,0,0,0
tasha & tracie;cesrv,1,48.0,117936.0,0.8,0.65,0.54,0.36,0.0,0.23,0.71,142.04,funk,0,0,0,0,0
tasha & tracie;devasto prod;vinex,1,48.0,180000.0,0.7,0.6,0.46,0.22,0.0,0.11,0.51,81.41,funk,0,0,0,0,0
tasha & tracie;mu540;febem;onnika,1,51.0,281223.0,0.94,0.55,0.29,0.45,0.0,0.27,0.66,119.98,funk,0,0,0,0,0
tasha & tracie;pizzol,2,51.5,134492.0,0.65,0.63,0.42,0.49,0.0,0.43,0.55,104.96,funk,0,0,0,0,0
tasha cobbs leonard,2,0.0,314436.5,0.28,0.48,0.03,0.59,0.0,0.09,0.16,96.58,gospel,0,0,0,0,0
tashif;milli mourya,1,53.0,185126.0,0.29,0.13,0.04,0.94,0.0,0.08,0.32,179.44,indian,0,0,0,0,0
taska black;lizzy land,1,55.0,177898.0,0.72,0.75,0.05,0.07,0.0,0.2,0.52,114.02,electronic,0,0,0,0,0
taste of honey,1,34.0,322956.0,0.79,0.47,0.03,0.1,0.01,0.25,0.89,125.38,disco,0,0,0,0,0
tat ming pair,2,37.0,259686.5,0.61,0.35,0.03,0.68,0.0,0.11,0.35,112.52,cantopop,0,0,0,0,0
tatanka,2,23.5,204077.0,0.67,0.83,0.1,0.01,0.44,0.11,0.21,150.03,hardstyle,0,0,0,0,0
tatanka;zatox,1,22.0,251200.0,0.76,0.86,0.05,0.02,0.38,0.41,0.37,149.99,hardstyle,0,0,0,0,0
tate mcrae,1,84.0,169265.0,0.67,0.37,0.05,0.78,0.0,0.09,0.08,124.15,pop,0,0,0,0,0
tatiana,20,24.45,202755.55,0.69,0.76,0.05,0.15,0.0,0.18,0.73,123.6,children,0,0,0,0,0
tatiana and sergey nikitin,11,3.82,187308.45,0.6,0.16,0.1,0.87,0.02,0.16,0.54,116.16,romance,0,0,0,0,0
tatiana bulanova,3,42.0,173586.67,0.72,0.86,0.05,0.14,0.11,0.23,0.8,139.36,synth-pop,0,0,0,0,0
tatik;dub akom;luigi society,1,24.0,177600.0,0.66,0.42,0.53,0.43,0.0,0.06,0.34,129.44,j-dance,0,0,0,0,0
tatsunoshin,1,0.0,156000.0,0.53,0.88,0.24,0.01,0.0,0.24,0.57,159.86,hardstyle,0,0,0,0,0
tatsuya nakazaki;junko yamamoto;hideyuki umezu,1,35.0,170906.0,0.69,0.47,0.04,0.31,0.0,0.09,0.82,98.89,disney,0,0,0,0,0
taty girl,24,40.92,145194.67,0.52,0.91,0.12,0.16,0.0,0.23,0.67,104.91,forro,0,0,0,0,0
taty girl;wesley safadão,1,46.0,160007.0,0.65,0.88,0.05,0.49,0.0,0.23,0.79,74.98,forro,0,0,0,0,0
tavares,2,15.5,311133.0,0.5,0.53,0.04,0.38,0.01,0.4,0.66,121.29,disco,0,0,0,0,0
taxman,1,16.0,273488.0,0.52,0.98,0.04,0.0,0.67,0.43,0.04,171.93,drum-and-bass,0,0,0,0,0
tayara andreza,1,41.0,180610.0,0.72,0.79,0.03,0.61,0.0,0.1,0.48,126.92,forro,0,0,0,0,0
tayhana,2,16.0,283519.5,0.67,0.79,0.06,0.36,0.83,0.11,0.66,170.03,club,0,0,0,0,0
taylor swift,11,46.36,231453.91,0.55,0.64,0.06,0.31,0.0,0.11,0.44,108.09,pop,8,8,2017,2020,1
tayo,1,12.0,176030.0,0.74,0.95,0.07,0.1,0.0,0.07,0.77,128.04,breakbeat,0,0,0,0,0
tayo the little bus,1,47.0,75482.0,0.73,0.36,0.03,0.73,0.0,0.36,0.98,97.62,children,0,0,0,0,0
tayrone,3,40.0,182477.67,0.8,0.85,0.05,0.31,0.0,0.51,0.81,128.03,forro,0,0,0,0,0
tayrone cigano,4,43.0,247018.25,0.71,0.74,0.05,0.54,0.0,0.23,0.85,136.25,forro,0,0,0,0,0
tayrone;gustavo mioto,1,45.0,164995.0,0.55,0.9,0.08,0.21,0.0,0.49,0.64,159.93,forro,0,0,0,0,0
tayrone;leo santana,1,41.0,167624.0,0.54,0.91,0.07,0.34,0.0,0.4,0.74,131.21,forro,0,0,0,0,0
taïro,2,31.5,261143.5,0.64,0.69,0.15,0.06,0.0,0.3,0.69,83.22,french,0,0,0,0,0
tb1,1,39.0,235826.0,0.78,0.81,0.05,0.11,0.0,0.06,0.91,115.01,afrobeat,0,0,0,0,0
tbabz;naffymar,1,20.0,177272.0,0.79,0.5,0.12,0.24,0.0,0.22,0.59,88.0,afrobeat,0,0,0,0,0
tc;little grace,1,15.0,336279.0,0.46,0.85,0.04,0.0,0.0,0.22,0.13,172.02,drum-and-bass,0,0,0,0,0
tc;metrik,1,16.0,283426.0,0.58,0.95,0.07,0.0,0.92,0.1,0.4,173.99,drum-and-bass,0,0,0,0,0
tchakabum,1,45.0,182693.0,0.7,0.9,0.09,0.51,0.0,0.34,0.83,136.05,funk,0,0,0,0,0
tchami,2,54.25,372603.0,0.71,0.78,0.04,0.04,0.68,0.12,0.35,124.74,groove,0,0,0,0,0
tchami;donnie sloan;ricky ducati,1,54.0,218000.0,0.63,0.75,0.08,0.1,0.0,0.11,0.17,120.02,deep-house,0,0,0,0,0
tchami;gunna,2,57.5,210000.0,0.74,0.68,0.05,0.04,0.0,0.31,0.8,124.02,deep-house,0,0,0,0,0
tchami;habstrakt;lena leon,1,59.0,217258.0,0.72,0.86,0.06,0.01,0.79,0.13,0.15,124.0,deep-house,0,0,0,0,0
tchami;kaleem taylor,1,59.0,159572.0,0.72,0.78,0.06,0.01,0.01,0.1,0.51,124.09,deep-house,0,0,0,0,0
tchami;marten hørger,1,64.0,197760.0,0.75,0.87,0.06,0.01,0.15,0.24,0.35,125.0,deep-house,0,0,0,0,0
tchami;stacy barthe,1,52.0,293333.0,0.6,0.9,0.04,0.0,0.53,0.06,0.08,125.99,deep-house,0,0,0,0,0
tchami;zhu,1,49.0,249836.0,0.8,0.66,0.08,0.01,0.01,0.3,0.32,122.02,groove,0,0,0,0,0
tchoupi,1,34.0,140960.0,0.86,0.65,0.05,0.19,0.0,0.08,0.69,107.13,french,0,0,0,0,0
tchê garotos,1,49.0,244813.0,0.85,0.87,0.07,0.49,0.0,0.32,0.93,95.04,sertanejo,0,0,0,0,0
tcm,6,54.83,165224.0,0.39,0.85,0.06,0.04,0.15,0.23,0.4,124.99,hardstyle,0,0,0,0,0
tcts;flash 89;lilly ahlberg,1,2.0,180952.0,0.6,0.91,0.03,0.02,0.3,0.28,0.42,126.02,deep-house,0,0,0,0,0
tcts;glowie,1,44.0,147997.0,0.75,0.8,0.06,0.02,0.0,0.05,0.71,123.03,groove,0,0,0,0,0
tcts;maroox,1,67.0,142349.0,0.68,0.85,0.05,0.01,0.0,0.2,0.6,124.98,deep-house,0,0,0,0,0
tcts;nonô,1,52.0,162644.0,0.78,0.73,0.04,0.06,0.0,0.23,0.55,121.0,deep-house,0,0,0,0,0
team doyobi,1,9.0,355013.0,0.78,0.32,0.07,0.0,0.78,0.05,0.42,124.8,idm,0,0,0,0,0
team shadetek,1,13.0,199800.0,0.77,0.65,0.29,0.07,0.0,0.24,0.13,140.02,idm,0,0,0,0,0
team shadetek;high priest,1,13.0,164813.0,0.48,0.81,0.4,0.29,0.0,0.66,0.52,91.08,idm,0,0,0,0,0
team syachihoko,1,19.0,267959.0,0.51,0.96,0.11,0.01,0.0,0.31,0.47,193.07,j-idol,0,0,0,0,0
tears for fears,22,36.91,290336.05,0.57,0.84,0.05,0.17,0.05,0.18,0.58,111.58,synth-pop,0,0,0,0,0
tears for fears;dave bascombe,1,68.0,257315.0,0.62,0.74,0.02,0.34,0.0,0.11,0.64,95.01,synth-pop,0,0,0,0,0
tears for fears;lil baby,1,62.0,167029.0,0.74,0.68,0.23,0.24,0.0,0.11,0.51,112.87,synth-pop,0,0,0,0,0
tears for fears;oleta adams,1,67.0,391000.0,0.43,0.61,0.03,0.02,0.0,0.06,0.37,159.99,synth-pop,0,0,0,0,0
tears for fears;speed radio;steven wilson,1,61.0,183634.0,0.36,0.89,0.04,0.19,0.01,0.08,0.58,129.65,synth-pop,0,0,0,0,0
tears of tragedy;dougen;nene,1,18.0,758590.0,0.25,0.8,0.11,0.09,0.0,0.07,0.07,126.12,j-idol,0,0,0,0,0
tech n9ne;joey cool;king iso;dwayne johnson,1,73.0,219802.0,0.69,0.94,0.22,0.18,0.0,0.18,0.39,80.88,hip-hop,0,0,0,0,0
technikore,7,20.43,274160.71,0.53,0.92,0.13,0.04,0.25,0.24,0.32,168.83,happy,0,0,0,0,0
technikore;jts,1,24.0,297898.0,0.58,0.93,0.14,0.02,0.0,0.19,0.42,169.99,happy,0,0,0,0,0
